name	lat	lon
4F001OjW34LAM2012	43.6532	-79.3832
7F004OjW34LAM2012	43.6532	-79.3832
FOjW34BRN2012	43.6532	-79.3832
NOjW34MSL2012	43.6532	-79.3832
OOjW34MSL2012	43.6532	-79.3832
TOjW34BRN2012	43.6532	-79.3832
L4OjW30TOR2012	43.6532	-79.3832
L6OjW30TOR2012	43.6532	-79.3832
4A033OjW30LAM2012	43.6532	-79.3832
HOjW30BRN2012	43.6532	-79.3832
IOjW30BRN2012	43.6532	-79.3832
NOjW30BRN2012	43.6532	-79.3832
Y12B1OjW30PEE2012	43.6532	-79.3832
Y12D1OjW30PEE2012	43.6532	-79.3832
P1OtsW32TOR2012	43.6532	-79.3832
E2OjW31TOR2012	43.6532	-79.3832
E3OjW31TOR2012	43.6532	-79.3832
F1OjW31TOR2012	43.6532	-79.3832
F4OjW31TOR2012	43.6532	-79.3832
J4OjW31TOR2012	43.6532	-79.3832
L1OjW31TOR2012	43.6532	-79.3832
N1OjW31TOR2012	43.6532	-79.3832
Y12B1OjW31PEE2012	43.6532	-79.3832
Y12D1OjW31PEE2012	43.6532	-79.3832
A1CqW31TOR2011	43.6532	-79.3832
4A027CqW31LAM2012	43.6532	-79.3832
4F001CqW31LAM2012	43.6532	-79.3832
6A038CqW31LAM2012	43.6532	-79.3832
6A060CqW31LAM2012	43.6532	-79.3832
7F004CqW31LAM2012	43.6532	-79.3832
A1CqW31WEC2012	43.6532	-79.3832
BCqW31BRN2012	43.6532	-79.3832
CCQW31BRN2012	43.6532	-79.3832
CCqW31MSL2012	43.6532	-79.3832
Can2CqW31MSL2012	43.6532	-79.3832
DCqW31MSL2012	43.6532	-79.3832
ECqW31BRN2012	43.6532	-79.3832
FCqW31BRN2012	43.6532	-79.3832
JCqW31BRN2012	43.6532	-79.3832
M1CqW31WEC2012	43.6532	-79.3832
MCqW31MSL2012	43.6532	-79.3832
NCqW31MSL2012	43.6532	-79.3832
SCqW31MSL2012	43.6532	-79.3832
TCqW31BRN2012	43.6532	-79.3832
V1CqW31WEC2012	43.6532	-79.3832
W1CqW31WEC2012	43.6532	-79.3832
1F003CqW32LAM2012	43.6532	-79.3832
4F001CqW32LAM2012	43.6532	-79.3832
6A082CqW32LAM2012	43.6532	-79.3832
7F004CqW32LAM2012	43.6532	-79.3832
8A063CqW32LAM2012	43.6532	-79.3832
CCqW32MSL2012	43.6532	-79.3832
Can2CqW32MSL2012	43.6532	-79.3832
M1CqW32WEC2012	43.6532	-79.3832
N1CqW32WEC2012	43.6532	-79.3832
SCqW32MSL2012	43.6532	-79.3832
FCqW32BRN2012	43.6532	-79.3832
Y12T1CqW32PEE2012	43.6532	-79.3832
Y12U1CqW32PEE2012	43.6532	-79.3832
Y12X1CqW32PEE2012	43.6532	-79.3832
Y12Y1CqW32PEE2012	43.6532	-79.3832
C1CqW33WEC2012	43.6532	-79.3832
K1CqW33WEC2012	43.6532	-79.3832
L1CqW33WEC2012	43.6532	-79.3832
M1CqW33WEC2012	43.6532	-79.3832
O1CqW33WEC2012	43.6532	-79.3832
V1CqW33WEC2012	43.6532	-79.3832
1A066CqW33LAM2012	43.6532	-79.3832
4F001CqW33LAM2012	43.6532	-79.3832
6A073CqW33LAM2012	43.6532	-79.3832
7F004CqW33LAM2012	43.6532	-79.3832
CCqW33MSL2012	43.6532	-79.3832
Can7CqW33MSL2012	43.6532	-79.3832
NCqW33MSL2012	43.6532	-79.3832
M1CqW25TOR2012	43.6532	-79.3832
N1CqW25TOR2012	43.6532	-79.3832
CCqW34MSL2012	43.6532	-79.3832
Can6CqW34MSL2012	43.6532	-79.3832
K1CqW34WEC2012	43.6532	-79.3832
N1CqW34WEC2012	43.6532	-79.3832
S1CqW34WEC2012	43.6532	-79.3832
Y12U1CqW34PEE2012	43.6532	-79.3832
3A022CqW30LAM2012	43.6532	-79.3832
3F005CqW30LAM2012	43.6532	-79.3832
4A033CqW30LAM2012	43.6532	-79.3832
4F001CqW30LAM2012	43.6532	-79.3832
6F002CqW30LAM2012	43.6532	-79.3832
7F004CqW30LAM2012	43.6532	-79.3832
BCqW30BRN2012	43.6532	-79.3832
CCqW30BRN2012	43.6532	-79.3832
ECqW30BRN2012	43.6532	-79.3832
FCqW30BRN2012	43.6532	-79.3832
HCqW30BRN2012	43.6532	-79.3832
ICqW30BRN2012	43.6532	-79.3832
JCqW30BRN2012	43.6532	-79.3832
M1CqW26TOR2012	43.6532	-79.3832
N1CqW26TOR2012	43.6532	-79.3832
ACqW30MSL2012	43.6532	-79.3832
CCqW30MSL2012	43.6532	-79.3832
Can2CqW30MSL2012	43.6532	-79.3832
DCqW30MSL2012	43.6532	-79.3832
G1CqW30WEC2012	43.6532	-79.3832
ICqW30MSL2012	43.6532	-79.3832
MCqW30MSL2012	43.6532	-79.3832
R1CqW30WEC2012	43.6532	-79.3832
V1CqW30WEC2012	43.6532	-79.3832
W1CqW30WEC2012	43.6532	-79.3832
M1CqW30TOR2011	43.6532	-79.3832
A1CxW31TOR2013	43.6532	-79.3832
B3CxW31TOR2013	43.6532	-79.3832
B4CxW31TOR2013	43.6532	-79.3832
C1CxW31TOR2013	43.6532	-79.3832
C3CxW31TOR2013	43.6532	-79.3832
D1CxW31TOR2013	43.6532	-79.3832
F4CxW31TOR2013	43.6532	-79.3832
G1CxW31TOR2013	43.6532	-79.3832
J2CxW31TOR2013	43.6532	-79.3832
J3CxW31TOR2013	43.6532	-79.3832
M3CxW31TOR2013	43.6532	-79.3832
N1CxW31TOR2013	43.6532	-79.3832
R1CxW31TOR2013	43.6532	-79.3832
R4CxW31TOR2013	43.6532	-79.3832
B1CxW31TOR2012	43.6532	-79.3832
C4CxW31TOR2012	43.6532	-79.3832
E3CxW31TOR2012	43.6532	-79.3832
K3CxW31TOR2012	43.6532	-79.3832
K4CxW31TOR2012	43.6532	-79.3832
L1CxW31TOR2012	43.6532	-79.3832
D3CxW31TOR2011	43.6532	-79.3832
O4CxW31TOR2011	43.6532	-79.3832
P1CxW31TOR2011	43.6532	-79.3832
Q1CxW31TOR2011	43.6532	-79.3832
Q3CxW31TOR2011	43.6532	-79.3832
B3CxW27TOR2011	43.6532	-79.3832
C3CxW27TOR2011	43.6532	-79.3832
D3CxW27TOR2011	43.6532	-79.3832
E1CxW27TOR2011	43.6532	-79.3832
E3CxW27TOR2011	43.6532	-79.3832
G1CxW27TOR2011	43.6532	-79.3832
J2cxW27TOR2011	43.6532	-79.3832
J3cxW27TOR2011	43.6532	-79.3832
K1CxW27TOR2011	43.6532	-79.3832
K3CxW27TOR2011	43.6532	-79.3832
L1CxW27TOR2011	43.6532	-79.3832
L6CxW27TOR2011	43.6532	-79.3832
N4CxW27TOR2011	43.6532	-79.3832
O1CxW27TOR2011	43.6532	-79.3832
O4CxW27TOR2011	43.6532	-79.3832
P1CxW29TOR2011	43.6532	-79.3832
Q1CxW27TOR2012	43.6532	-79.3832
Q3CxW27TOR2012	43.6532	-79.3832
R1CxW27TOR2011	43.6532	-79.3832
R4CxW27TOR2011	43.6532	-79.3832
A1CxW36TOR2013	43.6532	-79.3832
F4CxW36TOR2013	43.6532	-79.3832
G1CxW36TOR2013	43.6532	-79.3832
L1CxW36TOR2012	43.6532	-79.3832
L4CxW36TOR2012	43.6532	-79.3832
M1CxW36TOR2013	43.6532	-79.3832
M3CxW36TOR2012	43.6532	-79.3832
N1CxW36TOR2013	43.6532	-79.3832
O3CxW36TOR2012	43.6532	-79.3832
O4CxW36TOR2013	43.6532	-79.3832
P1CxW37TOR2013	43.6532	-79.3832
R1CxW36TOR2013	43.6532	-79.3832
R4CxW36TOR2012	43.6532	-79.3832
D3CxW36TOR2011	43.6532	-79.3832
E1CxW36TOR2011	43.6532	-79.3832
J3CxW36TOR2011	43.6532	-79.3832
J4CxW36TOR2011	43.6532	-79.3832
K3CxW36TOR2011	43.6532	-79.3832
K4CxW36TOR2011	43.6532	-79.3832
L5CxW36TOR2011	43.6532	-79.3832
L6CxW36TOR2011	43.6532	-79.3832
O1CxW36TOR2011	43.6532	-79.3832
Q1CxW36TOR2011	43.6532	-79.3832
B4CxW32TOR2013	43.6532	-79.3832
C1CxW32TOR2013	43.6532	-79.3832
C3CxW32TOR2013	43.6532	-79.3832
H1CxW32TOR2013	43.6532	-79.3832
J2CxW32TOR2013	43.6532	-79.3832
N1CxW32TOR2013	43.6532	-79.3832
N4CxW32TOR2013	43.6532	-79.3832
O4CxW32TOR2013	43.6532	-79.3832
R4CxW32TOR2013	43.6532	-79.3832
A1CxW32TOR2012	43.6532	-79.3832
B3CxW32TOR2012	43.6532	-79.3832
C4CxW32TOR2012	43.6532	-79.3832
E2CxW32TOR2012	43.6532	-79.3832
E3CxW32TOR2012	43.6532	-79.3832
G1CxW32TOR2012	43.6532	-79.3832
K3CxW32TOR2012	43.6532	-79.3832
K4CxW32TOR2012	43.6532	-79.3832
L1CxW32TOR2012	43.6532	-79.3832
L4CxW32TOR2012	43.6532	-79.3832
L6CxW32TOR2012	43.6532	-79.3832
N5CxW32TOR2012	43.6532	-79.3832
O3CxW32TOR2012	43.6532	-79.3832
F1CxW32TOR2011	43.6532	-79.3832
J1CxW32TOR2011	43.6532	-79.3832
J3CxW32TOR2011	43.6532	-79.3832
O1CxW32TOR2011	43.6532	-79.3832
P1CxW32TOR2011	43.6532	-79.3832
P3CxW32TOR2011	43.6532	-79.3832
Q1CxW32TOR2011	43.6532	-79.3832
Q3CxW32TOR2011	43.6532	-79.3832
R1CxW32TOR2011	43.6532	-79.3832
B3CxW28TOR2011	43.6532	-79.3832
C1CxW28TOR2011	43.6532	-79.3832
C3CxW28TOR2011	43.6532	-79.3832
E1CxW28TOR2011	43.6532	-79.3832
F4CxW28TOR2011	43.6532	-79.3832
G1CxW28TOR2013	43.6532	-79.3832
J2CxW28TOR2011	43.6532	-79.3832
K1CxW28TOR2011	43.6532	-79.3832
K4CxW28TOR2011	43.6532	-79.3832
L1CxW28TOR2011	43.6532	-79.3832
L4CxW28TOR2011	43.6532	-79.3832
L5CxW28TOR2011	43.6532	-79.3832
L6CxW28TOR2011	43.6532	-79.3832
N1CxW28TOR2011	43.6532	-79.3832
N4CxW28TOR2011	43.6532	-79.3832
N5CxW28TOR2011	43.6532	-79.3832
O3CxW28TOR2011	43.6532	-79.3832
O4CxW28TOR2011	43.6532	-79.3832
P3CxW29TOR2012	43.6532	-79.3832
R1CxW28TOR2011	43.6532	-79.3832
R4CxW28TOR2011	43.6532	-79.3832
7A050CxW31LAM2012	43.6532	-79.3832
7F004CxW31LAM2012	43.6532	-79.3832
BCxW31BRN2012	43.6532	-79.3832
Can12CxW31MSL2012	43.6532	-79.3832
Can2CxW31MSL2012	43.6532	-79.3832
Can8CxW31MSL2012	43.6532	-79.3832
FCxW31BRN2012	43.6532	-79.3832
G1CxW31WEC2012	43.6532	-79.3832
JCxW31BRN2012	43.6532	-79.3832
JCxW31MSL2012	43.6532	-79.3832
TCxW31BRN2012	43.6532	-79.3832
V1CxW31WEC2012	43.6532	-79.3832
Q1CxW29TOR2013	43.6532	-79.3832
Q3CxW29TOR2013	43.6532	-79.3832
B1CxW27TOR2012	43.6532	-79.3832
B4CxW27TOR2012	43.6532	-79.3832
C2CxW27TOR2012	43.6532	-79.3832
E1CxW27TOR2012	43.6532	-79.3832
E2CxW27TOR2012	43.6532	-79.3832
E3CxW27TOR2012	43.6532	-79.3832
G1CxW27TOR2012	43.6532	-79.3832
H1CxW27TOR2012	43.6532	-79.3832
I1CxW27TOR2012	43.6532	-79.3832
J2CxW27TOR2012	43.6532	-79.3832
J3CxW27TOR2012	43.6532	-79.3832
K1CxW27TOR2012	43.6532	-79.3832
L1CxW27TOR2012	43.6532	-79.3832
L5CxW27TOR2012	43.6532	-79.3832
L6CxW27TOR2012	43.6532	-79.3832
N5CxW27TOR2012	43.6532	-79.3832
O4CxW27TOR2012	43.6532	-79.3832
R4CxW27TOR2012	43.6532	-79.3832
B1CxW23TOR2012	43.6532	-79.3832
B4CxW23TOR2012	43.6532	-79.3832
C3CxW23TOR2012	43.6532	-79.3832
D1CxW23TOR2011	43.6532	-79.3832
E1CxW23TOR2012	43.6532	-79.3832
E2CxW23TOR2012	43.6532	-79.3832
G1CxW23TOR2012	43.6532	-79.3832
